116th Bill Name,117th Bill Name,Matches,Short Title,Long Title
116-HB4087,117-HB2673,short,CERCLA Liability Expansion and Accountability for Negligent and Unjust Pollution Act CLEANUP Act,
116-HB7969,117-HB1636,short & long,Postal Vehicle Modernization Act,"To authorize funding for the purchase of electric or zero-emission vehicles for United States Postal Service fleet, and for other purposes."
116-HB8189,117-HB1293,short,To amend the Help America Vote Act of 2002 to prohibit a State from counting a ballot cast in an election for Federal office which is received by the State after the date of the election.,
116-HB3136,117-HB2097,long,,"To direct the Secretary of Energy to establish a program for the interim storage of high-level radioactive waste and spent nuclear fuel, and for other purposes."
116-HR319,117-HR358,short,"Recognizing and supporting the goals and ideals of ""National Sexual Assault Awareness and Prevention Month"".",
116-HB611,117-HB2223,short,Child Interstate Abortion Notification Act,
116-HB2817,117-HB2223,long,,"To amend title 18, United States Code, to prohibit taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions."
116-HR174,117-HR682,short,Recognizing the self-determination of Gibraltar to determine its status as a British Overseas Territory.,
116-HR323,117-HR436,short,"Supporting State, local, and community initiatives to encourage parents, teachers, camp counselors, and childcare professionals to take measures to prevent sunburns in the minors they care for, and expressing the sense of the House of Representatives that State, local, and community entities should continue to support efforts to curb the incidences of skin cancer beginning with childhood skin protection.",
116-HB3547,117-HB5322,short,Students and Young Consumers Empowerment Act,
116-HB7122,117-HB1323,short,Taxpayer Receipt Act,
116-HB8521,117-HB7021,short,Landowner Easement Rights Act,
116-HB1782,117-HB7717,short,American Apprenticeship Act,
116-HB5935,117-HB225,long,,"To amend chapter 44 of title 18, United States Code, to more comprehensively address the interstate transportation of firearms or ammunition."
116-HB175,117-HB225,short,"To amend chapter 44 of title 18, United States Code, to more comprehensively address the interstate transportation of firearms or ammunition.",
116-HB4934,117-HB620,short,Dignity for Aborted Children Act,
116-HB8516,117-HB2651,long,,"To provide for the retrocession of the District of Columbia to Maryland, and for other purposes."
116-HB8539,117-HB2651,short,District of Columbia-Maryland Reunion Act,
116-HB8949,117-HB2809,long,,"To authorize the President to provide disaster assistance to States and Indian Tribes under a major disaster recovery program, and for other purposes."
116-HB3882,117-HB4163,short,Even Playing Field Act,
116-HB8333,117-HB2515,long,,"To amend the National Environmental Policy Act of 1969 to clarify ambiguous provisions, align the Act with relevant case law, reflect modern technologies, optimize interagency coordination, and facilitate a more efficient, effective, and timely environmental review process."
116-HB1246,117-HB4524,short,Improving Access to Work Act,
116-HB5198,117-HB6519,long,,"To amend the Federal Food, Drug, and Cosmetic Act regarding the patient medication information required to be included in the labeling of prescription drugs, and for other purposes."
116-HB1103,117-HB270,short,Genetically Engineered Salmon Labeling Act,
116-HR654,117-HR30,short,Supporting the United Nations Sustainable Development Goals.,
116-HB6689,117-HB2994,short,Accountability for Acting Officials Act,
116-HB6472,117-HB675,short,COVID–19 Price Gouging Prevention Act,
116-HB5306,117-HB4143,long,,To amend title XI of the Social Security Act to clarify the mailing requirement relating to social security account statements.
116-HB5761,117-HB1361,short,AUTO for Veterans Act Advancing Uniform Transportation Opportunities for Veterans Act,
116-HB7456,117-HB987,short,"To establish a grant program for domestic maritime workforce training and education, and for other purposes.",
116-HB9057,117-HB6149,long,,"To amend the Public Health Service Act to develop and test an expanded and advanced role for direct-care workers who provide long-term services and supports to older adults and people with disabilities in efforts to coordinate care and improve the efficiency of service delivery, and for other purposes."
116-HB1082,117-HB2145,short,SASCA Survivors’ Access to Supportive Care Act,
116-HB1262,117-HB4992,short,21 to Buy Act,
116-HB5145,117-HB1341,short,Promoting Women in Trucking Workforce Act,
116-HB3688,117-HB232,short,Public Service Transparency Act,
116-HB3119,117-HB1731,short,BEST Act Biliteracy Education Seal and Teaching Act,
116-HB5016,117-HB5897,short & long,Fair and Clear Campaign Transparency Act,To direct the Federal Communications Commission to promulgate regulations requiring material in the online public inspection file of a covered entity to be made available in a format that is machine-readable.
116-HB5718,117-HB3979,long,,"To establish a refund effective date for rates and charges under the Natural Gas Act, and for other purposes."
116-HB8610,117-HB7193,long,,"To withdraw normal trade relations treatment from, and apply certain provisions of title IV of the Trade Act of 1974 to, products of the People's Republic of China, and to expand the eligibility requirements for products of the People's Republic of China to receive normal trade relations treatment in the future, and for other purposes."
116-HB3563,117-HB3993,short,Stop Shackling and Detaining Pregnant Women Act,
116-HJR5,117-HJR2,short,Proposing an amendment to the Constitution of the United States relative to balancing the budget.,
116-HB126,117-HB126,short,Students Voicing Opinions in Today’s Elections (VOTE) Act,
116-HB3822,117-HB3097,short,Green Transportation Act,
116-HB409,117-HB1425,short,To amend the Internal Revenue Code of 1986 to repeal the limitation on the cover over of distilled spirits taxes to the Virgin Islands and Puerto Rico.,
116-HB645,117-HB2301,short,Automatic Voter Registration Act,
116-HCR12,117-HCR12,short,Expressing the sense of Congress that a commemorative postage stamp should be issued in honor of the Buffalo Soldiers.,
116-HB1351,117-HB2739,short,SURVIVE Act Securing Urgent Resources Vital to Indian Victim Empowerment Act,
116-HB7748,117-HB1545,short,Crisis Counseling Act,
116-HB370,117-HB3078,short,Pipeline and LNG Facility Cybersecurity Preparedness Act,
116-HB5844,117-HB9445,short,ACCESS Rural America Act Access to Capital Creates Economic Strength and Supports Rural America Act,
116-HB734,117-HB576,short,Next Generation Votes Act,
116-HB1708,117-HB1075,short,Rim of the Valley Corridor Preservation Act,
116-HB5546,117-HB546,short,Effective Assistance of Counsel in the Digital Era Act,
